panel,gene,reason
MS,HOXD8,below_1pct (1/72767 cells)
MS,LHX1,below_1pct (417/72767 cells)
MS,LMBRD1,kept
MS,LRP5,kept
MS,MEGF8,kept
MS,MESP1,below_1pct (359/72767 cells)
MS,MESP2,below_1pct (387/72767 cells)
MS,MIXL1,kept
MS,MKKS,kept
MS,NAT8B,missing
MS,NPHP3,kept
MS,NPPB,below_1pct (176/72767 cells)
MS,NR4A3,below_1pct (70/72767 cells)
MS,NR5A2,kept
MS,OTX2,kept
MS,OXSR1,kept
MS,PHLDB1,kept
MS,PHLDB2,kept
MS,POGLUT1,kept
MS,PTCH1,kept
MS,RACK1,kept
MS,RIPPLY1,missing
MS,RIPPLY2,below_1pct (537/72767 cells)
MS,SCX,kept
MS,SMAD2,kept
MS,SMAD6,kept
MS,STIL,kept
MS,T,missing
MS,TASOR,kept
MS,TBX3,kept
MS,TBXT,below_1pct (106/72767 cells)
MS,TDGF1,kept
MS,TENM4,kept
MS,UGDH,kept
MS,WNT1,below_1pct (3/72767 cells)
MS,WNT7A,below_1pct (7/72767 cells)
MS,WNT8B,below_1pct (15/72767 cells)
