perturbation,cluster,delta_pct,p_enrich,p_deplete,q_enrich,q_deplete,n_cells,prop_pert,prop_ntc,direction
OG0100_OREX,20,-0.9687836383207751,1.0,0.7307269273072693,1.0,1.0,33,0.0,0.00968783638320775,none
OG0171_D103A,20,-0.9687836383207751,1.0,0.7211278872112789,1.0,1.0,33,0.0,0.00968783638320775,none
GS0298_IL5,20,-0.9687836383207751,1.0,0.7297270272972702,1.0,1.0,33,0.0,0.00968783638320775,none
GS0077_CD70,20,-0.9687836383207751,1.0,0.7249275072492751,1.0,1.0,33,0.0,0.00968783638320775,none
OG0098_APEL,20,-0.9687836383207751,1.0,0.7293270672932707,1.0,1.0,33,0.0,0.00968783638320775,none
OG0020_ANGT,20,-0.9687836383207751,1.0,0.7245275472452755,1.0,1.0,33,0.0,0.00968783638320775,none
GS0283_IL27B,20,-0.9687836383207751,1.0,0.7296270372962703,1.0,1.0,33,0.0,0.00968783638320775,none
GS0243_IFNA5,20,-0.9687836383207751,1.0,0.7295270472952705,1.0,1.0,33,0.0,0.00968783638320775,none
OG0168_ENHO,20,-0.9687836383207751,1.0,0.7350264973502649,1.0,1.0,32,0.0,0.00968783638320775,none
OG0217_CCL3,20,-0.9687836383207751,1.0,0.7218278172182782,1.0,1.0,32,0.0,0.00968783638320775,none
OG0162_PENK,20,-0.9687836383207751,1.0,0.7205279472052795,1.0,1.0,32,0.0,0.00968783638320775,none
GS0078_CD70,20,-0.9687836383207751,1.0,0.7405259474052595,1.0,1.0,32,0.0,0.00968783638320775,none
OG0170_SLIB,20,-0.9687836383207751,1.0,0.7364263573642635,1.0,1.0,31,0.0,0.00968783638320775,none
GS0240_IFNA1,20,-0.9687836383207751,1.0,0.7435256474352565,1.0,1.0,31,0.0,0.00968783638320775,none
GS0100_CLUS,20,-0.9687836383207751,1.0,0.7342265773422658,1.0,1.0,31,0.0,0.00968783638320775,none
OG0033_APEL,20,-0.9687836383207751,1.0,0.7465253474652535,1.0,1.0,31,0.0,0.00968783638320775,none
OG0137_INSL3,20,-0.9687836383207751,1.0,0.7368263173682632,1.0,1.0,31,0.0,0.00968783638320775,none
GS0361_PDGFA,20,-0.9687836383207751,1.0,0.7398260173982601,1.0,1.0,31,0.0,0.00968783638320775,none
GS0196_FSHB,20,-0.9687836383207751,1.0,0.7335266473352665,1.0,1.0,31,0.0,0.00968783638320775,none
OG0029_MORN,20,-0.9687836383207751,1.0,0.7306269373062694,1.0,1.0,31,0.0,0.00968783638320775,none
OG0084_ANF,20,-0.9687836383207751,1.0,0.7464253574642535,1.0,1.0,30,0.0,0.00968783638320775,none
GS0246_IFNA8,20,-0.9687836383207751,1.0,0.746025397460254,1.0,1.0,30,0.0,0.00968783638320775,none
OG0070_EDN2,20,-0.9687836383207751,1.0,0.7406259374062594,1.0,1.0,30,0.0,0.00968783638320775,none
OG0269_IL8,20,-0.9687836383207751,1.0,0.7522247775222478,1.0,1.0,30,0.0,0.00968783638320775,none
GS0288_IL33,20,-0.9687836383207751,1.0,0.7487251274872513,1.0,1.0,30,0.0,0.00968783638320775,none
OG0016_KNG1,20,-0.9687836383207751,1.0,0.7525247475252475,1.0,1.0,30,0.0,0.00968783638320775,none
OG0163_UCN2,20,-0.9687836383207751,1.0,0.7407259274072593,1.0,1.0,30,0.0,0.00968783638320775,none
GS0216_GMFG,20,-0.9687836383207751,1.0,0.7470252974702529,1.0,1.0,30,0.0,0.00968783638320775,none
GS0461_ULBP2,20,-0.9687836383207751,1.0,0.7435256474352565,1.0,1.0,30,0.0,0.00968783638320775,none
OG0040_GAST,20,-0.9687836383207751,1.0,0.7533246675332467,1.0,1.0,29,0.0,0.00968783638320775,none
OG0155_NEU2,20,-0.9687836383207751,1.0,0.7537246275372462,1.0,1.0,29,0.0,0.00968783638320775,none
OG0077_PENK,20,-0.9687836383207751,1.0,0.7577242275772422,1.0,1.0,29,0.0,0.00968783638320775,none
GS0422_TAFA5,20,-0.9687836383207751,1.0,0.7550244975502449,1.0,1.0,29,0.0,0.00968783638320775,none
OG0216_CCL18,20,-0.9687836383207751,1.0,0.7457254274572542,1.0,1.0,29,0.0,0.00968783638320775,none
GS0295_IL37,20,-0.9687836383207751,1.0,0.7484251574842515,1.0,1.0,29,0.0,0.00968783638320775,none
OG0177_DB110,20,-0.9687836383207751,1.0,0.7464253574642535,1.0,1.0,29,0.0,0.00968783638320775,none
GS0423_TDGF1,20,-0.9687836383207751,1.0,0.7554244575542446,1.0,1.0,29,0.0,0.00968783638320775,none
OG0030_NPFF,20,-0.9687836383207751,1.0,0.7516248375162484,1.0,1.0,28,0.0,0.00968783638320775,none
OG0274_CXCL3,20,-0.9687836383207751,1.0,0.7685231476852314,1.0,1.0,28,0.0,0.00968783638320775,none
GS0236_IFN14,20,-0.9687836383207751,1.0,0.7613238676132387,1.0,1.0,28,0.0,0.00968783638320775,none
OG0251_GROA,20,-0.9687836383207751,1.0,0.7642235776422358,1.0,1.0,28,0.0,0.00968783638320775,none
GS0379_REL1,20,-0.9687836383207751,1.0,0.7674232576742326,1.0,1.0,28,0.0,0.00968783638320775,none
GS0433_THRB,20,-0.9687836383207751,1.0,0.7602239776022398,1.0,1.0,28,0.0,0.00968783638320775,none
GS0010_ADIPO,20,-0.9687836383207751,1.0,0.7563243675632437,1.0,1.0,28,0.0,0.00968783638320775,none
GS0410_SHH,20,-0.9687836383207751,1.0,0.766023397660234,1.0,1.0,28,0.0,0.00968783638320775,none
GS0460_ULBP1,20,-0.9687836383207751,1.0,0.7625237476252374,1.0,1.0,28,0.0,0.00968783638320775,none
OG0219_CL3L1,20,-0.9687836383207751,1.0,0.7547245275472453,1.0,1.0,28,0.0,0.00968783638320775,none
OG0209_CCL15,20,-0.9687836383207751,1.0,0.7606239376062394,1.0,1.0,28,0.0,0.00968783638320775,none
GS0241_IFNA2,20,-0.9687836383207751,1.0,0.7570242975702429,1.0,1.0,28,0.0,0.00968783638320775,none
OG0148_IAPP,20,-0.9687836383207751,1.0,0.7581241875812419,1.0,1.0,28,0.0,0.00968783638320775,none
OG0035_MCH,20,-0.9687836383207751,1.0,0.7566243375662434,1.0,1.0,28,0.0,0.00968783638320775,none
GS0251_IFNL1,20,-0.9687836383207751,1.0,0.7714228577142286,1.0,1.0,27,0.0,0.00968783638320775,none
GS0277_IL22,20,-0.9687836383207751,1.0,0.766023397660234,1.0,1.0,27,0.0,0.00968783638320775,none
GS0464_VEGFC,20,-0.9687836383207751,1.0,0.7665233476652334,1.0,1.0,27,0.0,0.00968783638320775,none
OG0192_GON1,20,-0.9687836383207751,1.0,0.7709229077092291,1.0,1.0,27,0.0,0.00968783638320775,none
OG0017_NEU1,20,-0.9687836383207751,1.0,0.7637236276372362,1.0,1.0,27,0.0,0.00968783638320775,none
OG0151_PACA,20,-0.9687836383207751,1.0,0.7696230376962304,1.0,1.0,27,0.0,0.00968783638320775,none
OG0025_NMB,20,-0.9687836383207751,1.0,0.771022897710229,1.0,1.0,27,0.0,0.00968783638320775,none
GS0023_ANGL3,20,-0.9687836383207751,1.0,0.7693230676932307,1.0,1.0,27,0.0,0.00968783638320775,none
OG0039_SMS,20,-0.9687836383207751,1.0,0.7693230676932307,1.0,1.0,27,0.0,0.00968783638320775,none
OG0191_COLI,20,-0.9687836383207751,1.0,0.7745225477452254,1.0,1.0,27,0.0,0.00968783638320775,none
GS0378_REG3A,20,-0.9687836383207751,1.0,0.773022697730227,1.0,1.0,27,0.0,0.00968783638320775,none
OG0111_GLUC,20,-0.9687836383207751,1.0,0.7703229677032297,1.0,1.0,27,0.0,0.00968783638320775,none
OG0138_APEL,20,-0.9687836383207751,1.0,0.77992200779922,1.0,1.0,26,0.0,0.00968783638320775,none
OG0231_CXCL7,20,-0.9687836383207751,1.0,0.7792220777922207,1.0,1.0,26,0.0,0.00968783638320775,none
GS0253_IFNL3,20,-0.9687836383207751,1.0,0.7752224777522247,1.0,1.0,26,0.0,0.00968783638320775,none
GS0444_TNFA,20,-0.9687836383207751,1.0,0.7741225877412259,1.0,1.0,26,0.0,0.00968783638320775,none
OG0167_DB114,20,-0.9687836383207751,1.0,0.7811218878112188,1.0,1.0,26,0.0,0.00968783638320775,none
GS0009_ADIPL,20,-0.9687836383207751,1.0,0.7818218178182181,1.0,1.0,26,0.0,0.00968783638320775,none
GS0166_FBN1,20,-0.9687836383207751,1.0,0.7762223777622238,1.0,1.0,26,0.0,0.00968783638320775,none
GS0377_REG3A,20,-0.9687836383207751,1.0,0.7777222277772223,1.0,1.0,26,0.0,0.00968783638320775,none
OG0190_PLF4,20,-0.9687836383207751,1.0,0.7767223277672233,1.0,1.0,26,0.0,0.00968783638320775,none
OG0221_MOTI,20,-0.9687836383207751,1.0,0.7845215478452154,1.0,1.0,26,0.0,0.00968783638320775,none
OG0201_A4,20,-0.9687836383207751,1.0,0.7789221077892211,1.0,1.0,26,0.0,0.00968783638320775,none
GS0441_TNF14,20,-0.9687836383207751,1.0,0.7747225277472253,1.0,1.0,26,0.0,0.00968783638320775,none
GS0269_IL19,20,-0.9687836383207751,1.0,0.775022497750225,1.0,1.0,26,0.0,0.00968783638320775,none
GS0369_PRL,20,-0.9687836383207751,1.0,0.7805219478052194,1.0,1.0,26,0.0,0.00968783638320775,none
GS0240_IFNA1,21,13.868537101982708,0.00039996000399960006,0.9999000099990001,0.15558444155584444,0.9999000099990001,31,0.16129032258064516,0.022604951560818085,none
OG0274_CXCL3,21,4.882361986775334,0.13088691130886912,0.9724027597240276,1.0,0.9766131634259255,28,0.07142857142857142,0.022604951560818085,none
GS0422_TAFA5,21,4.636056568056122,0.13988601139886012,0.9732026797320268,1.0,0.9766131634259255,29,0.06896551724137931,0.022604951560818085,none
OG0102_TOR2X,21,3.8001109045242525,0.1708829117088291,0.961003899610039,1.0,0.9766131634259255,33,0.06060606060606061,0.022604951560818085,none
GS0323_LEP,21,3.8001109045242525,0.1755824417558244,0.9618038196180382,1.0,0.9766131634259255,33,0.06060606060606061,0.022604951560818085,none
GS0146_DAND5,21,3.8001109045242525,0.1693830616938306,0.9626037396260374,1.0,0.9766131634259255,33,0.06060606060606061,0.022604951560818085,none
OG0020_ANGT,21,3.8001109045242525,0.1713828617138286,0.9639036096390361,1.0,0.9766131634259255,33,0.06060606060606061,0.022604951560818085,none
OG0225_CCL4,21,3.7395048439181915,0.10308969103089691,0.9741025897410259,1.0,0.9766131634259255,50,0.06,0.022604951560818085,none
OG0226_IGF2,21,3.508735613148961,0.10978902109789021,0.9737026297370263,1.0,0.9766131634259255,52,0.057692307692307696,0.022604951560818085,none
GS0254_IFNL4,21,3.4537905582039055,0.1882811718828117,0.9562043795620438,1.0,0.9766131634259255,35,0.05714285714285714,0.022604951560818085,none
OG0048_TKN4,21,3.4537905582039055,0.1827817218278172,0.9564043595640436,1.0,0.9766131634259255,35,0.05714285714285714,0.022604951560818085,none
GS0044_BMP8A,21,3.4537905582039055,0.18838116188381163,0.9558044195580442,1.0,0.9766131634259255,35,0.05714285714285714,0.022604951560818085,none
OG0195_A4,21,3.295060399473747,0.1932806719328067,0.9538046195380462,1.0,0.9766131634259255,36,0.05555555555555555,0.022604951560818085,none
GS0432_THRB,21,3.295060399473747,0.18908109189081093,0.953004699530047,1.0,0.9766131634259255,36,0.05555555555555555,0.022604951560818085,none
OG0147_GLUC,21,3.295060399473747,0.19758024197580243,0.9537046295370463,1.0,0.9766131634259255,36,0.05555555555555555,0.022604951560818085,none
GS0354_NTF3,21,3.0026627386550335,0.0907909209079092,0.974002599740026,1.0,0.9766131634259255,76,0.05263157894736842,0.022604951560818085,none
GS0137_CXCL7,21,3.0026627386550335,0.13928607139286073,0.9572042795720428,1.0,0.9766131634259255,57,0.05263157894736842,0.022604951560818085,none
OG0158_SCG2,21,2.8677099721233197,0.22007799220077992,0.9392060793920608,1.0,0.9766131634259255,39,0.05128205128205128,0.022604951560818085,none
GS0221_GREM1,21,2.739504843918192,0.22457754224577542,0.9382061793820617,1.0,0.9766131634259255,40,0.05,0.022604951560818085,none
GS0209_GDF9,21,2.6575376308034375,0.16468353164683533,0.9521047895210479,1.0,0.9766131634259255,61,0.04918032786885246,0.022604951560818085,none
OG0277_CXL11,21,2.5014096058229534,0.23767623237676233,0.9351064893510649,1.0,0.9766131634259255,42,0.047619047619047616,0.022604951560818085,none
GS0131_CXCL5,21,2.3906676346158657,0.13338666133386662,0.9512048795120488,1.0,0.9766131634259255,86,0.046511627906976744,0.022604951560818085,none
GS0337_MIF,21,2.3906676346158657,0.24567543245675433,0.9316068393160684,1.0,0.9766131634259255,43,0.046511627906976744,0.022604951560818085,none
GS0384_S10A4,21,2.3548894593028074,0.1775822417758224,0.9416058394160584,1.0,0.9766131634259255,65,0.046153846153846156,0.022604951560818085,none
OG0174_CO3,21,2.2849593893727373,0.26077392260773924,0.9198080191980802,1.0,0.9766131634259255,44,0.045454545454545456,0.022604951560818085,none
GS0320_LACRT,21,2.0405801127353964,0.16518348165183483,0.9384061593840616,1.0,0.9766131634259255,93,0.043010752688172046,0.022604951560818085,none
GS0084_CGB2,21,1.7395048439181917,0.31626837316268375,0.8976102389761024,1.0,0.9672309777332516,50,0.04,0.022604951560818085,none
GS0443_TNF18,21,1.686873264970823,0.24527547245275472,0.9034096590340965,1.0,0.9681166869538941,76,0.039473684210526314,0.022604951560818085,none
OG0258_CCL15,21,1.661073471369172,0.31526847315268475,0.8862113788621138,1.0,0.9602680400483629,51,0.0392156862745098,0.022604951560818085,none
GS0003_A4,21,1.585658690072038,0.25577442255774424,0.9023097690230977,1.0,0.9681166869538941,78,0.038461538461538464,0.022604951560818085,none
GS0022_ANGL3,21,1.585658690072038,0.44175582441755823,0.8788121187881212,1.0,0.9602680400483629,26,0.038461538461538464,0.022604951560818085,none
OG0091_VGF,21,1.585658690072038,0.44345565443455653,0.8856114388561144,1.0,0.9602680400483629,26,0.038461538461538464,0.022604951560818085,none
OG0201_A4,21,1.585658690072038,0.44915508449155084,0.884011598840116,1.0,0.9602680400483629,26,0.038461538461538464,0.022604951560818085,none
GS0441_TNF14,21,1.585658690072038,0.44735526447355267,0.8798120187981202,1.0,0.9602680400483629,26,0.038461538461538464,0.022604951560818085,none
OG0115_PNOC,21,1.585658690072038,0.45095490450954906,0.8813118688131187,1.0,0.9602680400483629,26,0.038461538461538464,0.022604951560818085,none
GS0409_SG3A1,21,1.4895048439181915,0.26877312268773124,0.8941105889411058,1.0,0.9661361641613615,80,0.0375,0.022604951560818085,none
OG0175_PYY3,21,1.443208547621895,0.34026597340265974,0.8761123887611239,1.0,0.9602680400483629,54,0.037037037037037035,0.022604951560818085,none
GS0037_BMP15,21,1.443208547621895,0.34366563343665635,0.8779122087791221,1.0,0.9602680400483629,54,0.037037037037037035,0.022604951560818085,none
OG0017_NEU1,21,1.443208547621895,0.4560543945605439,0.8797120287971203,1.0,0.9602680400483629,27,0.037037037037037035,0.022604951560818085,none
OG0039_SMS,21,1.443208547621895,0.45955404459554045,0.8773122687731227,1.0,0.9602680400483629,27,0.037037037037037035,0.022604951560818085,none
OG0191_COLI,21,1.443208547621895,0.46215378462153783,0.8775122487751225,1.0,0.9602680400483629,27,0.037037037037037035,0.022604951560818085,none
OG0111_GLUC,21,1.443208547621895,0.45345465453454653,0.8763123687631237,1.0,0.9602680400483629,27,0.037037037037037035,0.022604951560818085,none
GS0213_GLHA,21,1.3758684802818277,0.3585641435856414,0.8724127587241276,1.0,0.9602680400483629,55,0.03636363636363636,0.022604951560818085,none
GS0224_HBEGF,21,1.3539626752434926,0.29917008299170084,0.8780121987801219,1.0,0.9602680400483629,83,0.03614457831325301,0.022604951560818085,none
GS0236_IFN14,21,1.3109334153467627,0.47725227477252274,0.8673132686731326,1.0,0.9602680400483629,28,0.03571428571428571,0.022604951560818085,none
OG0076_MOTI,21,1.3109334153467627,0.47155284471552844,0.8711128887111289,1.0,0.9602680400483629,28,0.03571428571428571,0.022604951560818085,none
OG0209_CCL15,21,1.3109334153467627,0.47325267473252675,0.8681131886811319,1.0,0.9602680400483629,28,0.03571428571428571,0.022604951560818085,none
OG0037_PDYN,21,1.3109334153467627,0.47055294470552944,0.8659134086591341,1.0,0.9602680400483629,28,0.03571428571428571,0.022604951560818085,none
OG0040_GAST,21,1.187780705987157,0.49085091490850913,0.8585141485851415,1.0,0.9602680400483629,29,0.034482758620689655,0.022604951560818085,none
GS0416_STC1,21,1.187780705987157,0.48955104489551043,0.8615138486151385,1.0,0.9602680400483629,29,0.034482758620689655,0.022604951560818085,none
GS0246_IFNA8,21,1.0728381772515247,0.49365063493650635,0.8544145585441456,1.0,0.9602680400483629,30,0.03333333333333333,0.022604951560818085,none
OG0160_CRF,21,1.0728381772515247,0.48665133486651335,0.8567143285671432,1.0,0.9602680400483629,30,0.03333333333333333,0.022604951560818085,none
GS0288_IL33,21,1.0728381772515247,0.5050494950504949,0.8542145785421458,1.0,0.9602680400483629,30,0.03333333333333333,0.022604951560818085,none
OG0016_KNG1,21,1.0728381772515247,0.49275072492750727,0.8566143385661434,1.0,0.9602680400483629,30,0.03333333333333333,0.022604951560818085,none
GS0100_CLUS,21,0.9653112955310947,0.5037496250374962,0.8496150384961504,1.0,0.9602680400483629,31,0.03225806451612903,0.022604951560818085,none
OG0033_APEL,21,0.9653112955310947,0.5152484751524847,0.8413158684131586,1.0,0.9602680400483629,31,0.03225806451612903,0.022604951560818085,none
GS0196_FSHB,21,0.9653112955310947,0.5033496650334967,0.8409159084091591,1.0,0.9602680400483629,31,0.03225806451612903,0.022604951560818085,none
