sgRNA,Gene,log2FC_Day4_mTeSR_r1_vs_plasmid,log2FC_Day4_mTeSR_r2_vs_plasmid,log2FC_Day7_E6_r1_vs_plasmid,log2FC_Day7_E6_r2_vs_plasmid,log2FC_Day7_mTeSR_r1_vs_plasmid,log2FC_Day7_mTeSR_r2_vs_plasmid,log2FC_Day9_E6_r1_vs_plasmid,log2FC_Day9_E6_r2_vs_plasmid,log2FC_Day9_mTeSR_r1_vs_plasmid,log2FC_Day9_mTeSR_r2_vs_plasmid,log2FC_Day14_E6_r1_vs_plasmid,log2FC_Day14_E6_r2_vs_plasmid,log2FC_Day14_mTeSR_r1_vs_plasmid,log2FC_Day14_mTeSR_r2_vs_plasmid
GS0288_IL33_HUMAN,IL33,-0.2746339302875178,-1.2026376162535843,-1.2786317787580543,-1.0210313527320132,-0.946833259484574,-0.8595267020514203,-0.8287616844205044,-1.4100313995699365,-0.5866932355499586,-1.0454936424526051,-1.1704795534582215,-1.495992825177284,-0.6833691841591207,-1.0718611630993315
GS0289_IL33_HUMAN,IL33,-2.4429621276116853,-1.8014669388377325,-2.54440559781702,-1.913224043619172,-1.9494396988187024,-1.3104096781808448,-2.3853192410724233,-2.320017835592771,-2.053122606448186,-2.039219432452432,-2.401576730914069,-1.78718270996343,-2.0767090756420057,-1.804214762407927
GS0290_IL33_HUMAN,IL33,0.4795839962432726,0.4374064388331611,0.0927367518814126,0.3273082509753457,0.082560494151135,0.017382613705255,0.3243806898842418,0.3230750638112383,0.360663231316467,0.1847849014063864,-0.1099395918501429,0.0615533138317569,-0.0301263365161812,0.1309923171657683
GS0291_IL34_HUMAN,IL34,-1.5683677115807333,-0.7466236131670216,-1.1217250462252035,-0.7624951362612906,-1.7221264484588037,-0.3916866323953227,-0.7013329347943298,-1.2929956235996816,-1.5082736098514795,-1.3847869581560586,-1.1015434075909196,-1.1020702497421049,-1.2110727261381165,-1.6134613899926693
GS0292_IL36A_HUMAN,IL36A,-0.445448206507697,-0.3821813866045893,-0.5300554997597029,-0.2265254449052616,-0.1023372609585173,-0.6254956374896619,0.0248865836303817,-0.421046988691895,-0.3225404291210747,-0.5961407322066794,-0.3287355921402977,-0.7734114506860426,-0.5317728557167491,-0.4310342235156845
GS0293_IL36B_HUMAN,IL36B,-0.603513474320895,-0.5980822904705931,-0.4188046477575309,-0.2187621159919857,-0.5171381933584787,-0.294469207848298,-0.4344727531097394,-0.5263722555632935,-0.4530525384812414,-0.2337873671766708,-0.5817860708222398,-0.6700938343190082,-0.3677756566764767,-0.0887342034882632
GS0294_IL36G_HUMAN,IL36G,-0.5194380098201989,-0.7784437125414492,-0.6154655603771086,-0.5706007919407909,-0.4827627749010386,-0.479130114056316,-0.7314564048625609,-0.7526186346436905,-0.3213960210664321,-0.4734635908713223,-1.135063697806595,-0.800664631131049,-0.4578472313850792,-0.5952526793746422
GS0295_IL37_HUMAN,IL37,-0.7693554666474469,-0.815849229454221,-1.113899724956326,-0.7089952951368552,-0.7773433269633401,-1.3160958434588483,-0.8140292723998499,-1.2034236715997135,-0.940823697819944,-1.2290889173387145,-1.209171910565491,-1.3371623766130938,-1.4292245573110574,-0.9786676969612014
GS0296_IL4_HUMAN,IL4,0.0335642903511743,0.2048694744800006,-0.1712682103362901,-0.0211803961111964,0.2067356425661159,0.0932407590242547,0.0165251042890322,0.0735653576657977,0.2560804568046286,-0.0526691648985959,-0.1558146362646404,-0.149260139489133,0.0938229571011728,-0.1452501821230125
GS0297_IL40_HUMAN,IL40,-0.5142662752475804,-0.8032030814012501,-1.0632002773103275,-1.0194378173019023,-1.9673092854565717,-0.778730659412231,-1.4545828240920935,-1.5635319262895615,-1.331853529304026,-1.0333089101478077,-1.473700043748642,-1.5723655518409787,-1.2107286881373138,-0.5935299038627431
